Allocation Subcategory,City,College,Gift Allocation,Gift Amount,Gift Date,Major,Prospect ID,State
College of Natural Science,Denver,College of Natural Science,Scholarship,5088,7/28/2010,Biological Science Interdepartmental,1000,CO
College of Natural Science,San Francisco,College of Social Science,Scholarship,3793,9/10/2010,Human Development and Family Studies,1001,CA
Minority Scholarship Fund,Los Angeles,College of Business,Scholarship,2952,6/30/2010,Accounting,1002,CA
College of Communication Arts and Sciences,Mesa,College of Natural Science,Scholarship,2872,11/23/2010,Mathematics,1003,AZ
Diversity Fund,West Valley City,College of Social Science,Endowment,2022,10/10/2010,Psychology,1004,UT
University Annual Fund,West Valley City,College of Social Science,Endowment,7234,5/21/2013,Psychology,1004,UT
College of Arts and Sciences,Orlando,College of Engineering,Scholarship,173,3/15/2010,Materials Science and Engineering,1005,FL
Alumni Association,Orlando,College of Engineering,Campus Resource,368,8/29/2013,Materials Science and Engineering,1005,FL
Alumni Association,Richmond,College of Agriculture and Natural Resources,Campus Resource,681,10/25/2010,Fisheries and Wildlife,1006,VA
Alumni Association,Richmond,College of Agriculture and Natural Resources,Campus Resource,1758,8/20/2013,Fisheries and Wildlife,1006,VA
Faculty Chair Endowments,Detroit,College of Political Science,Endowment,6862,5/30/2010,Social Relations and Policy,1007,MI
Parents Association,Detroit,College of Political Science,Campus Resource,13784,9/5/2011,Social Relations and Policy,1007,MI
College of Arts and Sciences,Detroit,College of Political Science,Scholarship,26590,6/19/2012,Social Relations and Policy,1007,MI
Campus Museums,Detroit,College of Political Science,Campus Resource,28838,3/29/2014,Social Relations and Policy,1007,MI
College of Arts and Sciences,Atlanta,College of Social Science,Scholarship,784,5/16/2010,Interdisciplinary Studies in Social Science - Social Science Education,1008,GA
University Annual Fund,Los Angeles,College of Arts and Sciences,Endowment,5619,4/22/2010,Art History and Visual Culture,1009,CA
Minority Scholarship Fund,Indianapolis,College of Communication Arts and Sciences,Scholarship,5686,4/28/2010,Media and Information,1010,IN
Campus Museums,Henderson,College of Communication Arts and Sciences,Campus Resource,373,10/31/2010,Media and Information,1011,NV
College of Social Science,Phoenix,College of Political Science,Scholarship,7285,6/29/2010,Political Theory and Constitutional Democracy,1012,AZ
Faculty Chair Endowments,Kansas City,College of Social Science,Endowment,2209,1/12/2010,Geographic Information Science,1013,MO
Parents Association,Manchester,College of Natural Science,Campus Resource,8877,1/19/2010,Computational Mathematics,1014,NH
College of Arts and Sciences,Los Angeles,College of Education,Scholarship,6757,3/31/2010,Education,1015,CA
College of Natural Science,Seattle,College of Agriculture and Natural Resources,Scholarship,2585,8/6/2010,Agribusiness Management,1016,WA
College of Social Science,Lexington,College of Political Science,Scholarship,888,12/28/2010,College of Political Science,1017,KY
Athletics,New York,College of Arts and Sciences,Campus Resource,3367,1/12/2010,Japanese,1018,NY
In-State Scholarship Fund,New York,College of Arts and Sciences,Scholarship,1538,1/22/2013,Japanese,1018,NY
College of Arts and Sciences,Chicago,College of Agriculture and Natural Resources,Scholarship,6516,6/26/2010,Horticulture,1019,IL
College of Arts and Sciences,Chicago,College of Agriculture and Natural Resources,Scholarship,1434,10/6/2013,Horticulture,1019,IL
Faculty Chair Endowments,Colorado Springs,College of Agriculture and Natural Resources,Endowment,1793,4/30/2010,Agriculture and Natural Resources-No Preference,1020,CO
College of Arts and Sciences,Colorado Springs,College of Agriculture and Natural Resources,Scholarship,6032,3/14/2013,Agriculture and Natural Resources-No Preference,1020,CO
Honors Program,Detroit,College of Music,Campus Resource,9739,4/15/2010,Composition,1021,MI
College of Natural Science,Detroit,College of Music,Scholarship,1437,2/2/2013,Composition,1021,MI
Alumni Association,Oklahoma City,College of Natural Science,Campus Resource,2873,8/16/2010,Neuroscience,1022,OK
College of Natural Science,Oklahoma City,College of Natural Science,Scholarship,8916,10/22/2013,Neuroscience,1022,OK
Trustees Fund,Cedar Rapids,College of Natural Science,Endowment,8257,6/2/2010,Environmental Biology/Plant Biol,1023,IA
Campus Recreation,Cedar Rapids,College of Natural Science,Campus Resource,9344,9/4/2013,Environmental Biology/Plant Biol,1023,IA
Campus Museums,Los Angeles,College of Agriculture and Natural Resources,Campus Resource,3071,6/12/2010,Horticulture,1024,CA
College of Social Science,Los Angeles,College of Agriculture and Natural Resources,Scholarship,4976,12/5/2013,Horticulture,1024,CA
Trustees Fund,Alexandria,College of Natural Science,Endowment,5288,10/4/2010,Actuarial Science,1025,VA
College of Business,Alexandria,College of Natural Science,Scholarship,9079,1/9/2013,Actuarial Science,1025,VA
College of Engineering,Miami,College of Arts and Sciences,Scholarship,6146,5/12/2010,Global Studies in the Arts and Humanities,1026,FL
Trustees Fund,Miami,College of Arts and Sciences,Endowment,6155,8/17/2013,Global Studies in the Arts and Humanities,1026,FL
University Annual Fund,Philadelphia,College of Natural Science,Endowment,6371,12/10/2010,Biochemistry and Molecular Biology/Biotechnology,1027,PA
University Annual Fund,Philadelphia,College of Natural Science,Endowment,3478,7/18/2013,Biochemistry and Molecular Biology/Biotechnology,1027,PA
College of Natural Science,Lansing,College of Agriculture and Natural Resources,Scholarship,6451,10/2/2010,Fisheries and Wildlife,1028,MI
College of Natural Science,Lansing,College of Agriculture and Natural Resources,Scholarship,243,9/5/2013,Fisheries and Wildlife,1028,MI
Diversity Fund,Kansas City,College of Engineering,Endowment,6301,8/24/2010,Biosystems Engineering,1029,MO
University Annual Fund,Kansas City,College of Engineering,Endowment,8941,4/29/2013,Biosystems Engineering,1029,MO
University Annual Fund,Lansing,College of Natural Science,Endowment,5634,10/22/2010,Statistics,1030,MI
College of Engineering,Seattle,College of Social Science,Scholarship,7575,4/15/2010,Sociology,1031,WA
College of Engineering,Cincinnati,College of Engineering,Scholarship,2015,1/18/2010,Computer Science,1032,OH
Faculty Chair Endowments,Chicago,College of Agriculture and Natural Resources,Endowment,2587,9/26/2010,Landscape Architecture,1033,IL
College of Natural Science,Chicago,College of Agriculture and Natural Resources,Scholarship,7641,9/9/2013,Landscape Architecture,1033,IL
In-State Scholarship Fund,Des Moines,College of Nursing,Scholarship,7126,10/21/2010,Summer Research Program,1034,IA
Faculty Chair Endowments,Des Moines,College of Nursing,Endowment,383,2/9/2013,Summer Research Program,1034,IA
Campus Museums,Overland Park,College of Business,Campus Resource,8199,4/1/2010,Hospitality Business,1035,KS
College of Education,Overland Park,College of Business,Scholarship,8816,7/2/2013,Hospitality Business,1035,KS
College of Education,Wichita,College of Arts and Sciences,Scholarship,8561,7/6/2010,Japanese,1036,KS
College of Engineering,Wichita,College of Arts and Sciences,Scholarship,5453,4/17/2013,Japanese,1036,KS
College of Engineering,Little Rock,College of Natural Science,Scholarship,313,5/15/2010,Statistics,1037,AR
Faculty Chair Endowments,Little Rock,College of Natural Science,Endowment,7610,5/17/2013,Statistics,1037,AR
Parents Association,Richmond,College of Social Science,Campus Resource,4238,12/28/2010,Psychology,1038,VA
University Libraries,Richmond,College of Social Science,Campus Resource,995,12/3/2013,Psychology,1038,VA
College of Veterinary Medicine,Cincinnati,College of Natural Science,Scholarship,4821,8/14/2010,Plant Biology,1039,OH
College of Natural Science,Cincinnati,College of Natural Science,Scholarship,6997,2/28/2013,Plant Biology,1039,OH
College of Natural Science,Oklahoma City,College of Social Science,Scholarship,8906,3/11/2010,Political Science-Prelaw,1040,OK
Campus Recreation,Oklahoma City,College of Social Science,Campus Resource,7944,11/11/2013,Political Science-Prelaw,1040,OK
College of Nursing,Durham,College of Agriculture and Natural Resources,Scholarship,267,5/13/2010,Construction Management,1041,NC
Faculty Chair Endowments,Durham,College of Agriculture and Natural Resources,Endowment,2245,5/21/2013,Construction Management,1041,NC
Campus Museums,Denver,College of Arts and Sciences,Campus Resource,10528.5,9/10/2010,Japanese,1042,CO
College of Business,Denver,College of Arts and Sciences,Scholarship,250.5,11/23/2013,Japanese,1042,CO
University Annual Fund,Los Angeles,College of Social Science,Endowment,2524,7/29/2010,Geographic Information Science,1043,CA
Campus Recreation,Los Angeles,College of Social Science,Campus Resource,1797,6/19/2013,Geographic Information Science,1043,CA
Alumni Association,Cincinnati,College of Social Science,Campus Resource,6377,7/18/2010,Public Policy,1044,OH
Diversity Fund,Cincinnati,College of Social Science,Endowment,2402,11/29/2013,Public Policy,1044,OH
University Annual Fund,Cleveland,College of Communication Arts and Sciences,Endowment,6384,2/18/2010,Journalism,1045,OH
College of Business,Phoenix,College of Engineering,Scholarship,7903,7/2/2010,Electrical Engineering,1046,AZ
College of Natural Science,Detroit,College of Agriculture and Natural Resources,Scholarship,7597,6/19/2010,Packaging,1047,MI
Athletics,Indianapolis,College of Agriculture and Natural Resources,Campus Resource,8987,10/8/2010,Environmental Studies and Agriscience,1048,IN
In-State Scholarship Fund,Tallahassee,College of Arts and Sciences,Scholarship,8642,2/25/2010,Chinese,1049,FL
College of Natural Science,Raleigh,College of Social Science,Scholarship,584,8/26/2010,Public Policy,1050,NC
Faculty Chair Endowments,Grand Rapids,College of Political Science,Endowment,5057,12/29/2010,College of Political Science,1051,MI
Parents Association,Albuquerque,College of Engineering,Campus Resource,3057,10/23/2010,Engineering-No Major,1052,NM
Honors Program,Cincinnati,College of Social Science,Campus Resource,7196,8/17/2010,History,1053,OH
Athletics,North Las Vegas,College of Social Science,Campus Resource,8166,9/4/2010,Interdisciplinary Studies in Social Science - Social Science Education,1054,NV
Trustees Fund,Lincoln,College of Social Science,Endowment,5840,8/20/2010,Sociology,1055,NE
University Annual Fund,Lincoln,College of Social Science,Endowment,7931,5/3/2013,Sociology,1055,NE
University Libraries,Des Moines,College of Engineering,Campus Resource,6856,9/21/2010,Engineering-No Major,1056,IA
